common_genes
ENSG00000154556
ENSG00000189159
ENSG00000130294
ENSG00000166710
ENSG00000178662
ENSG00000067225
ENSG00000141837
ENSG00000163297
ENSG00000106799
ENSG00000074800
ENSG00000046653
ENSG00000048540
ENSG00000166508
ENSG00000143850
ENSG00000197299
ENSG00000138160
ENSG00000155511
ENSG00000196557
ENSG00000197614
ENSG00000033867
ENSG00000110076
ENSG00000148053
ENSG00000122378
ENSG00000171517
ENSG00000064651
ENSG00000113810
ENSG00000198722
ENSG00000132383
ENSG00000115414
ENSG00000054523
ENSG00000117616
ENSG00000188766
ENSG00000064042
ENSG00000105220
ENSG00000162039
ENSG00000141449
ENSG00000196876
ENSG00000114923
ENSG00000133026
ENSG00000026508
ENSG00000118058
ENSG00000078328
ENSG00000007372
ENSG00000182175
ENSG00000124313
ENSG00000157851
ENSG00000071051
ENSG00000138821
ENSG00000118432
ENSG00000102385
ENSG00000244405
ENSG00000229807
ENSG00000121579
ENSG00000186487
ENSG00000214548
ENSG00000148408
ENSG00000166257
ENSG00000184156
ENSG00000136960
ENSG00000078018
ENSG00000196104
ENSG00000110888
ENSG00000168824
ENSG00000106484
ENSG00000060718
ENSG00000053254
ENSG00000173262
ENSG00000144730
ENSG00000184110
ENSG00000278599
ENSG00000258947
ENSG00000143195
ENSG00000139146
ENSG00000259560
ENSG00000225783
ENSG00000143977
ENSG00000137210
ENSG00000166147
ENSG00000224114
ENSG00000168779
ENSG00000092964
ENSG00000169903
ENSG00000147650
ENSG00000142089
ENSG00000180628
ENSG00000182568
ENSG00000276345
ENSG00000142731
ENSG00000129204
ENSG00000122756
ENSG00000165891
ENSG00000065911
ENSG00000157168
ENSG00000073464
ENSG00000136099
ENSG00000132669
ENSG00000185149
ENSG00000125046
ENSG00000106772
ENSG00000182809
ENSG00000116983
ENSG00000135333
ENSG00000007306
ENSG00000109906
ENSG00000183486
ENSG00000143401
ENSG00000068878
ENSG00000139618
ENSG00000148400
ENSG00000286546
ENSG00000198626
ENSG00000129422
ENSG00000273079
ENSG00000109956
ENSG00000132970
ENSG00000073111
ENSG00000152558
ENSG00000182968
ENSG00000124302
ENSG00000104419
ENSG00000168280
ENSG00000132024
ENSG00000132872
ENSG00000165462
ENSG00000133980
ENSG00000137094
ENSG00000185811
ENSG00000130844
ENSG00000121440
ENSG00000139926
ENSG00000134962
ENSG00000162374
ENSG00000082684
ENSG00000206503
ENSG00000152377
ENSG00000172782
ENSG00000060138
ENSG00000138771
ENSG00000047457
ENSG00000153814
ENSG00000167281
ENSG00000122966
ENSG00000171956
ENSG00000115484
ENSG00000241743
ENSG00000179869
ENSG00000160867
ENSG00000075702
ENSG00000177098
ENSG00000166736
ENSG00000125844
ENSG00000101445
ENSG00000180198
ENSG00000106462
ENSG00000112541
ENSG00000175832
ENSG00000138136
ENSG00000243232
ENSG00000090097
ENSG00000134363
ENSG00000114654
ENSG00000123496
ENSG00000109452
ENSG00000182040
ENSG00000101868
ENSG00000225206
ENSG00000127564
ENSG00000137267
ENSG00000046889
ENSG00000138685
ENSG00000144857
ENSG00000065618
ENSG00000038427
ENSG00000110446
ENSG00000176406
ENSG00000272398
ENSG00000085511
ENSG00000111913
ENSG00000157193
ENSG00000100557
ENSG00000248605
ENSG00000157765
ENSG00000111879
ENSG00000171786
ENSG00000188290
ENSG00000105419
ENSG00000119335
ENSG00000157570
ENSG00000072310
ENSG00000122694
ENSG00000176092
ENSG00000215030
ENSG00000109099
ENSG00000196305
ENSG00000068078
ENSG00000141431
ENSG00000120094
ENSG00000101057
ENSG00000138798
ENSG00000197822
ENSG00000123485
ENSG00000168309
ENSG00000198668
ENSG00000124785
ENSG00000174059
ENSG00000260343
ENSG00000180176
ENSG00000076770
ENSG00000254656
ENSG00000182199
ENSG00000169122
ENSG00000178104
ENSG00000151835
ENSG00000134258
ENSG00000068366
ENSG00000041982
ENSG00000092421
ENSG00000106070
ENSG00000129195
ENSG00000186469
ENSG00000138823
ENSG00000171766
ENSG00000161692
ENSG00000189292
ENSG00000164362
ENSG00000138795
ENSG00000165970
ENSG00000128567
ENSG00000124191
ENSG00000135903
ENSG00000177917
ENSG00000048392
ENSG00000078269
ENSG00000110675
ENSG00000163273
ENSG00000114346
ENSG00000182095
ENSG00000121957
ENSG00000125285
ENSG00000140873
ENSG00000164116
ENSG00000227640
ENSG00000166165
ENSG00000105810
ENSG00000124194
ENSG00000067182
ENSG00000132849
ENSG00000163064
ENSG00000110975
ENSG00000140525
ENSG00000091428
ENSG00000159753
ENSG00000123473
ENSG00000262484
ENSG00000166741
ENSG00000185559
ENSG00000136010
ENSG00000159409
ENSG00000276043
ENSG00000163873
ENSG00000140538
ENSG00000132341
ENSG00000171848
ENSG00000136002
ENSG00000205683
ENSG00000196767
ENSG00000101773
ENSG00000183908
ENSG00000122585
ENSG00000164692
ENSG00000163811
ENSG00000109805
ENSG00000139352
ENSG00000091129
ENSG00000167614
ENSG00000176842
ENSG00000149571
ENSG00000109929
ENSG00000157542
ENSG00000141480
ENSG00000213420
ENSG00000205922
ENSG00000184486
ENSG00000173452
ENSG00000134253
ENSG00000006071
ENSG00000174136
ENSG00000113532
ENSG00000285756
ENSG00000204335
ENSG00000108375
ENSG00000169710
ENSG00000029153
ENSG00000175592
ENSG00000142233
ENSG00000102554
ENSG00000177707
ENSG00000147536
ENSG00000259417
ENSG00000087586
ENSG00000166501
ENSG00000123360
ENSG00000149970
ENSG00000080224
ENSG00000060982
ENSG00000130816
ENSG00000184113
ENSG00000179673
ENSG00000111218
ENSG00000056487
ENSG00000144354
ENSG00000124126
ENSG00000140067
ENSG00000198208
ENSG00000137142
ENSG00000154678
ENSG00000111728
ENSG00000151320
ENSG00000130940
ENSG00000128185
ENSG00000130038
ENSG00000135549
ENSG00000120669
ENSG00000230002
ENSG00000178999
ENSG00000076554
ENSG00000188064
ENSG00000106571
ENSG00000154930
ENSG00000134504
ENSG00000204525
ENSG00000153310
ENSG00000112715
ENSG00000163754
ENSG00000198729
ENSG00000134817
ENSG00000148677
ENSG00000137285
ENSG00000179046
ENSG00000181652
ENSG00000180287
ENSG00000170561
ENSG00000168952
ENSG00000168646
ENSG00000164070
ENSG00000184588
ENSG00000153922
ENSG00000054356
ENSG00000172461
ENSG00000142192
ENSG00000134595
ENSG00000148204
ENSG00000081051
ENSG00000041515
ENSG00000111981
ENSG00000144824
ENSG00000161513
ENSG00000159251
ENSG00000126803
ENSG00000138834
ENSG00000146918
ENSG00000183230
ENSG00000170160
ENSG00000230453
ENSG00000171793
ENSG00000136943
ENSG00000153012
ENSG00000071246
ENSG00000115884
ENSG00000057657
ENSG00000103460
ENSG00000183018
ENSG00000164251
ENSG00000170522
ENSG00000099901
ENSG00000196376
ENSG00000167552
ENSG00000170091
ENSG00000164082
ENSG00000106003
ENSG00000092208
ENSG00000166111
ENSG00000119547
ENSG00000128564
ENSG00000165757
ENSG00000146216
ENSG00000101220
ENSG00000117399
ENSG00000204267
ENSG00000171724
ENSG00000100058
ENSG00000268089
ENSG00000198826
ENSG00000174371
ENSG00000139737
ENSG00000186603
ENSG00000198431
ENSG00000101134
ENSG00000250284
ENSG00000198753
ENSG00000152953
ENSG00000188848
ENSG00000120875
ENSG00000122644
ENSG00000133687
ENSG00000188211
ENSG00000111247
ENSG00000130222
ENSG00000165730
ENSG00000277586
ENSG00000148200
ENSG00000240694
ENSG00000184524
ENSG00000196550
ENSG00000173267
ENSG00000135069
ENSG00000111206
ENSG00000134222
ENSG00000187955
ENSG00000076706
ENSG00000183307
ENSG00000134802
ENSG00000106278
ENSG00000166450
ENSG00000125266
ENSG00000130558
ENSG00000177508
ENSG00000267041
ENSG00000144834
ENSG00000105202
ENSG00000174721
ENSG00000187091
ENSG00000162174
ENSG00000145824
ENSG00000163735
ENSG00000070182
ENSG00000166582
ENSG00000143674
ENSG00000072832
ENSG00000162493
ENSG00000154639
ENSG00000109819
ENSG00000196208
ENSG00000189057
ENSG00000261678
ENSG00000121905
ENSG00000196220
ENSG00000140350
ENSG00000092853
ENSG00000013810
ENSG00000246174
ENSG00000123737
ENSG00000177551
ENSG00000254510
ENSG00000134323
ENSG00000136237
ENSG00000185920
ENSG00000127585
ENSG00000093009
ENSG00000059915
ENSG00000260196
ENSG00000165501
ENSG00000070814
ENSG00000085840
ENSG00000075043
ENSG00000114656
ENSG00000007968
ENSG00000275216
ENSG00000113805
ENSG00000137558
ENSG00000139343
ENSG00000160752
ENSG00000196361
ENSG00000177511
ENSG00000140057
ENSG00000275395
ENSG00000101361
ENSG00000122483
ENSG00000166068
ENSG00000108852
ENSG00000258429
ENSG00000162545
ENSG00000013297
ENSG00000164430
ENSG00000101670
ENSG00000166897
ENSG00000130396
ENSG00000131037
ENSG00000163235
ENSG00000130287
ENSG00000138778
ENSG00000158715
ENSG00000171502
ENSG00000168078
ENSG00000181449
ENSG00000171388
ENSG00000124491
ENSG00000077092
ENSG00000242265
ENSG00000223756
ENSG00000157470
ENSG00000085117
ENSG00000163449
ENSG00000026559
ENSG00000186854
ENSG00000080573
ENSG00000163081
ENSG00000069482
ENSG00000146352
ENSG00000012048
ENSG00000174672
ENSG00000163918
ENSG00000177096
ENSG00000188610
ENSG00000149948
ENSG00000143375
ENSG00000134873
ENSG00000277879
ENSG00000151967
ENSG00000070669
ENSG00000120756
ENSG00000141622
ENSG00000188486
ENSG00000215417
ENSG00000186777
ENSG00000113657
ENSG00000182963
ENSG00000108551
ENSG00000100479
ENSG00000080644
ENSG00000124795
ENSG00000118193
ENSG00000175866
ENSG00000091536
ENSG00000177519
ENSG00000187109
ENSG00000196584
ENSG00000065328
ENSG00000075275
ENSG00000168502
ENSG00000104177
ENSG00000182752
ENSG00000189410
ENSG00000137135
ENSG00000235823
ENSG00000148082
ENSG00000206538
ENSG00000159164
ENSG00000126822
ENSG00000138180
ENSG00000154721
ENSG00000132749
ENSG00000178773
ENSG00000161267
ENSG00000110042
ENSG00000166292
ENSG00000139318
ENSG00000184661
ENSG00000167992
ENSG00000107614
ENSG00000206557
ENSG00000169684
ENSG00000075461
ENSG00000140451
ENSG00000115163
ENSG00000099282
ENSG00000272031
ENSG00000159899
ENSG00000145284
ENSG00000102290
ENSG00000140557
ENSG00000164663
ENSG00000213967
ENSG00000162552
ENSG00000104290
ENSG00000134690
ENSG00000100767
ENSG00000125851
ENSG00000249992
ENSG00000242779
ENSG00000164066
ENSG00000163545
ENSG00000122952
ENSG00000031698
ENSG00000100311
ENSG00000134809
ENSG00000169679
ENSG00000213801
ENSG00000064300
ENSG00000198756
ENSG00000273619
ENSG00000125246
ENSG00000126749
ENSG00000198860
ENSG00000196776
ENSG00000072571
ENSG00000076248
ENSG00000198435
ENSG00000169258
ENSG00000143228
ENSG00000100167
ENSG00000275993
ENSG00000135447
ENSG00000197852
ENSG00000125430
ENSG00000129810
ENSG00000168899
ENSG00000133216
ENSG00000180592
ENSG00000130589
ENSG00000105825
ENSG00000281398
ENSG00000121152
ENSG00000153976
ENSG00000024526
ENSG00000186185
ENSG00000054967
ENSG00000151012
ENSG00000109743
ENSG00000127561
ENSG00000171320
ENSG00000137812
ENSG00000149557
ENSG00000159023
ENSG00000206579
ENSG00000254093
ENSG00000215784
ENSG00000198429
ENSG00000156395
ENSG00000198576
ENSG00000185215
ENSG00000035499
ENSG00000183722
ENSG00000246465
ENSG00000095303
ENSG00000168575
ENSG00000149554
ENSG00000261136
ENSG00000145390
ENSG00000156802
ENSG00000080854
ENSG00000174871
ENSG00000166851
ENSG00000102384
ENSG00000157927
ENSG00000072657
ENSG00000267383
ENSG00000182985
ENSG00000166451
ENSG00000181773
ENSG00000139354
ENSG00000163249
ENSG00000131941
ENSG00000105281
ENSG00000105855
ENSG00000159217
ENSG00000153707
ENSG00000106105
ENSG00000117450
ENSG00000138356
ENSG00000100749
ENSG00000158769
ENSG00000131711
ENSG00000214796
ENSG00000165029
ENSG00000269343
ENSG00000238035
ENSG00000166426
ENSG00000167553
ENSG00000145428
ENSG00000184216
ENSG00000277149
ENSG00000127399
ENSG00000018625
ENSG00000177602
ENSG00000148798
ENSG00000116761
ENSG00000008300
ENSG00000197872
ENSG00000121104
ENSG00000085999
ENSG00000235961
ENSG00000156787
ENSG00000244026
ENSG00000185519
ENSG00000128011
ENSG00000092621
ENSG00000144554
ENSG00000120254
ENSG00000099194
ENSG00000196440
ENSG00000113645
ENSG00000084774
ENSG00000137193
ENSG00000094804
ENSG00000180543
ENSG00000104738
ENSG00000133083
ENSG00000160917
ENSG00000113368
ENSG00000161970
ENSG00000160606
ENSG00000143476
ENSG00000171130
ENSG00000186871
ENSG00000101447
ENSG00000103121
ENSG00000182986
ENSG00000106236
ENSG00000165244
ENSG00000151725
ENSG00000112312
ENSG00000131019
ENSG00000153157
ENSG00000112972
ENSG00000182010
ENSG00000237649
ENSG00000163888
ENSG00000170836
ENSG00000105011
ENSG00000277161
ENSG00000181896
ENSG00000144115
ENSG00000188522
ENSG00000101746
ENSG00000111665
